API Name;Code;Name
season;Season;
stat.gamesPlayed;GP;Games Pitched
stat.gamesStarted;GS;Games Started
stat.runs;R;Runs Allowed
stat.doubles;2B;Doubles
stat.triples;3B;Triples
stat.homeRuns;HR;Home Runs
stat.strikeOuts;SO;Strikeouts
stat.baseOnBalls;BB;Walks
stat.intentionalWalks;IBB;Intentional Walks
stat.hits;H;Hits Allowed
stat.hitByPitch;HBP;Hit Batters
stat.atBats;AB;At Bats
stat.caughtStealing;CS;Caught Stealing
stat.stolenBases;SB;Stolen Bases
stat.numberOfPitches;Pitches;Pitches Thrown
stat.inningsPitched;IP;Innings Pitched
stat.wins;W;Wins
stat.losses;L;Loses
stat.saves;SV;Saves
stat.saveOpportunities;SVo;Save Opportunities
stat.holds;HLD;Holds
stat.blownSaves;BS;Blown Saves
stat.earnedRuns;ER;Earned Runs
stat.battersFaced;BF;Batters Faced
stat.outs;Outs;Outs Thrown
stat.gamesPitched;G;Games Pitched
stat.completeGames;CG;Complete Games
stat.shutouts;SHO;Shutouts
stat.strikes;Strikes;Strikes Thrown
stat.balks;BK;Balks
stat.wildPitches;WP;Wild Pitches
stat.pickoffs;PK;Pickoffs
stat.gamesFinished;GF;Games Finished
stat.inheritedRunners;IR;Inherited Runners
stat.inheritedRunnersScored;IR-A;Inherited Runs Allowed
stat.catchersInterference;CI;Catchers Interference
stat.sacBunts;SH;Sac Bunts
stat.sacFlies;SF;Sac Flies
stat.bequeathedRunners;BQR;Bequeathed Runners
stat.bequeathedRunnersScored;BQR-S;Bequeathed Runners Scored
stat.qualityStarts;QS;Quality Starts
stat.gidp;GIDP;Ground Into Double Play
stat.gidpOpp;GIDPo;Ground Into Double Play Opportunities
stat.totalSwings;Swings;Total Swings
stat.swingAndMisses;Whiffs;Swing And Misses
stat.ballsInPlay;BIP;Balls In Play
stat.runSupport;RS;Run Support
stat.flyOuts;FO;Fly Outs
stat.popOuts;PO;Pop Outs
stat.lineOuts;LO;Line Outs
stat.groundOuts;GO;Ground Outs
stat.flyHits;FH;Fly Hits
stat.popHits;PH;Pop Hits
stat.lineHits;LH;Line Hits
stat.groundHits;GH;Ground Hits
